state,BENE_AVG_RISK_SCRE,ACUTE_HOSP_READMSN_PCT,PW_GPCI,PE_GPCI,MP_GPCI,GDP,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage,LOS,Year2020,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Health_Status
AK,0.81,0.1428,1.5,1.118,0.6609999999999995,50475.2,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079,5.33,732441,663,3367444,549,3016388,114,344736,0.52
AL,1.02,0.1794,1,0.889,0.707,230892.1,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154,5.87,5024803,2491,12871090,2104,11564500,387,1171044,0.45
AR,0.98,0.1772,1,0.8590000000000015,0.521,133969.1,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,0.8634767611628444,5.12,3012232,2373,12149056,2009,11042380,364,1099980,0.41
AZ,0.9,0.1642,1,0.961,0.8460000000000006,382072.3,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,0.8529069383669029,4.98,7177986,4108,21492618,3556,19544692,552,1668240,0.48
CA,1.02,0.1869,1.0396875,1.14871875,0.57825,3020173.4,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,0.8780119983937994,4.59,39499738,187725,1007115990,174128,957008862,13597,41117580,0.48
CO,0.87,0.1466,1,1.033,0.905,391263.3,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,0.8519551549911462,4.49,5784308,1034,5127638,784,4307032,250,756756,0.56
CT,1.07,0.1863,1.029,1.113,1.094,276223.3,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,0.8307113299378622,5.28,3600260,2719,14153816,2367,13009490,352,1063692,0.56
DC,1.11,0.2119,1.049,1.2209999999999963,1.277,144720,35.299307958477506,110420.25830449827,25532.423546712802,19320.246833910034,0.7566945926054653,6.8,690093,2056,10285159,1637,8996952,419,1267056,0.62
DE,0.97,0.1711,1.006,1.021,1.023,75818.6,45.80507131537242,49654.741980982566,16025.29296354992,13095.0735340729,0.817150336275168,6.3,991886,745,3870883,651,3575606,95,286776,0.49
FL,1.09,0.1915,1,0.992666667,1.9406666669999968,1116726.8,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,0.8526170339417626,5.2,21569932,105020,554796546,95729,526124294,9291,28097244,0.49
GA,1.03,0.1872,1,0.9435,0.9924999999999996,625425.7,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,0.82440780409602,5.74,10725800,2516,12926156,2112,11605720,405,1223208,0.48
HI,0.92,0.1512,1.006,1.144,0.644,82535.5,29.408,62408.89344,21826.617253333334,16682.26336,0.7643082373404567,6.3,1451911,3692,19060239,3184,17497432,508,1535940,0.48
IA,0.91,0.1524,1,0.907,0.4240000000000003,196982.9,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,0.8629463013902914,5.24,3188669,3084,15842890,2630,14452648,455,1374912,0.52
