state,GDP,Rndrng_Prvdr_State_Abrvtn,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,Medicare_Coverage
AL,230892.1,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
AK,50475.2,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
AZ,382072.3,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
AR,133969.1,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
CA,3020173.4,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
CO,391263.3,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
CT,276223.3,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
DE,75818.6,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
DC,144720,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
FL,1116726.8,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
GA,625425.7,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
HI,82535.5,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
ID,85927.8,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
IL,856942.9,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
IN,373781.6,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
IA,196982.9,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
KS,177580.9,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
KY,216865.6,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
LA,232527.8,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
ME,70740,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
MD,410931,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
MA,585150.3,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
MI,520105.3,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
MN,376814.4,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
MS,115123.4,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
MO,330249.9,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
MT,52355.8,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
NE,134580.8,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
NV,172562.6,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
NH,88337.7,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
NJ,620085.9,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
NM,98790,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
NY,1740804.7,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
NC,598915.9,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
ND,54422.9,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
OH,684382.5,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
OK,190063.6,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
OR,247966.7,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
PA,771613.2,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
RI,60770.6,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
SC,245359.5,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
SD,55681.2,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
TN,379007.1,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
TX,1789933.4,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
UT,202133.4,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
VT,34018.6,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
VA,556992.6,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
WA,612969.1,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
WV,76547.9,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
WI,340591.1,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
WY,36330.4,AK,28.864150943396226,114660.56279245284,24284.33120754717,20744.419018867924,0.8542306082706079
AL,230892.1,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
AK,50475.2,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
AZ,382072.3,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
AR,133969.1,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
CA,3020173.4,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
CO,391263.3,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
CT,276223.3,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
DE,75818.6,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
DC,144720,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
FL,1116726.8,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
GA,625425.7,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
HI,82535.5,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
ID,85927.8,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
IL,856942.9,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
IN,373781.6,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
IA,196982.9,AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,0.8084804524850154
