Rndrng_Prvdr_State_Abrvtn,Total_Premium_Number_of_Beneficiaries,Total_Premium_Amount,Standard_Base_Premium_Number_of_Beneficiaries,Standard_Base_Premium_Amount,Reduced_Base_Premium_Number_of_Beneficiaries,Reduced_Base_Premium_Amount,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,premium_individual
AK,663,3367444,549,3016388,114,344736,28.864150943396226,114660.56279245282,24284.33120754717,20744.419018867924,5079.101055806938
AL,2491,12871090,2104,11564500,387,1171044,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,5167.0373344038535
AR,2373,12149056,2009,11042380,364,1099980,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,5119.703329119258
AZ,4108,21492618,3556,19544692,552,1668240,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,5231.893378773126
CA,187725,1007115990,174128,957008862,13597,41117580,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,5364.847463044347
CO,1034,5127638,784,4307032,250,756756,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,4959.030947775628
CT,2719,14153816,2367,13009490,352,1063692,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,5205.522618609783
DC,2056,10285159,1637,8996952,419,1267056,35.299307958477506,110420.25830449827,25532.423546712802,19320.246833910034,5002.509241245136
DE,745,3870883,651,3575606,95,286776,45.80507131537242,49654.741980982566,16025.29296354992,13095.0735340729,5195.81610738255
FL,105020,554796546,95729,526124294,9291,28097244,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,5282.77038659303
GA,2516,12926156,2112,11605720,405,1223208,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,5137.581875993641
HI,3692,19060239,3184,17497432,508,1535940,29.408,62408.89344,21826.617253333334,16682.26336,5162.578277356446
IA,3084,15842890,2630,14452648,455,1374912,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,5137.123865110247
ID,566,2899939,477,2619760,89,269388,29.97222222222222,60442.95067901235,15695.672345679011,13378.929521604938,5123.567137809187
IL,5274,27170180,4455,24486512,819,2476404,35.60336247478144,65366.86307599193,15612.969966375253,12762.103651647612,5151.721653394008
IN,1830,9357238,1536,8442314,294,888804,34.60054890219561,62779.775606287425,14266.922679640718,12379.189760479041,5113.244808743169
KS,751,3934384,661,3631940,91,273672,37.456371986222734,69649.89831802525,13776.26653272101,11727.770378874857,5238.860186418109
KY,1138,5899966,986,5417682,152,460404,34.99576570218772,58730.81693719125,13654.927717007762,11323.160042342979,5184.504393673111
LA,9771,49690226,8135,44711334,1636,4947012,33.773148148148145,60722.5753587963,14748.468252314815,12403.10275462963,5085.480094156176
MA,33900,179392165,30984,170289438,2916,8817732,39.24611237818785,44186.34513166079,17664.331654571844,15643.057489114659,5291.804277286135
MD,17133,90513865,15609,85785232,1525,4610088,37.83453815261044,24449.68843373494,22407.093060240964,20607.062738955825,5283.013190918111
ME,304,1483355,222,1222402,82,246456,31.629518072289155,45170.88015060241,15402.678930722892,12836.117876506025,4879.457236842105
