state,Year2018,Year2019,Year2020
AL,4891628,4907965,5024803
AK,736624,733603,732441
AZ,7164228,7291843,7177986
AR,3012161,3020985,3012232
CA,39437463,39437610,39499738
CO,5697155,5758486,5784308
CT,3574561,3566022,3600260
DE,966985,976668,991886
DC,704147,708253,690093
FL,21254926,21492056,21569932
GA,10519389,10628020,10725800
HI,1423102,1415615,1451911
ID,1752074,1789060,1847772
IL,12724685,12667017,12785245
IN,6698481,6731010,6785644
IA,3149900,3159596,3188669
KS,2912748,2912635,2935880
KY,4464273,4472345,4503958
LA,4664450,4658285,4651203
ME,1340123,1345770,1362280
MD,6042153,6054954,6172679
MA,6885720,6894883,7022220
MI,9987286,9984795,10067664
MN,5608762,5640053,5707165
MS,2982879,2978227,2956870
MO,6125986,6140475,6154481
MT,1061818,1070123,1086193
NE,1925512,1932571,1961455
NV,3030725,3090771,3114071
NH,1355064,1360783,1377848
NJ,8891730,8891258,9279743
NM,2093754,2099634,2117566
NY,19544098,19463131,20154933
NC,10391358,10501384,10457177
ND,760062,763724,778962
OH,11680892,11696507,11790587
OK,3943488,3960676,3962031
OR,4183538,4216116,4241544
PA,12809107,12798883,12989625
RI,1059338,1058158,1096229
SC,5091702,5157702,5130729
SD,879386,887127,887099
TN,6778180,6830325,6920119
TX,28624564,28986794,29217653
UT,3155153,3203383,3281684
VT,624802,624046,642495
VA,8510920,8556642,8632044
WA,7526793,7614024,7718785
WV,1805953,1795263,1789798
WI,5809319,5824581,5892323
WY,579054,580116,577267
