state,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,LOS,Medicare_Coverage,year
AK,28.864150943396226,114660.56279245282,24284.33120754717,20744.419018867924,5.33,0.8542306082706079,2018
AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,5.87,0.8084804524850154,2018
AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,5.12,0.8634767611628444,2018
AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,4.98,0.8529069383669029,2018
CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,4.59,0.8780119983937994,2018
CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,4.49,0.8519551549911462,2018
CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,5.28,0.8307113299378622,2018
DC,35.299307958477506,110420.25830449827,25532.423546712802,19320.246833910034,6.8,0.7566945926054653,2018
DE,45.80507131537242,49654.741980982566,16025.29296354992,13095.0735340729,6.3,0.817150336275168,2018
FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,5.2,0.8526170339417626,2018
GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,5.74,0.82440780409602,2018
HI,29.408,62408.89344,21826.617253333334,16682.26336,6.3,0.7643082373404567,2018
IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,5.24,0.8629463013902914,2018
ID,29.97222222222222,60442.95067901235,15695.672345679011,13378.929521604938,4.18,0.8523960762527087,2018
IL,35.60336247478144,65366.86307599193,15612.969966375253,12762.103651647612,5.13,0.8174039711299397,2018
IN,34.60054890219561,62779.775606287425,14266.922679640718,12379.189760479041,5.27,0.8676846463985172,2018
KS,37.456371986222734,69649.89831802525,13776.26653272101,11727.770378874857,4.98,0.8513025173416453,2018
KY,34.99576570218772,58730.81693719125,13654.927717007762,11323.160042342977,5.73,0.8292361759073631,2018
LA,33.773148148148145,60722.5753587963,14748.468252314815,12403.10275462963,5.6,0.8409756553995312,2018
MA,39.24611237818785,44186.34513166079,17664.331654571844,15643.057489114659,5.22,0.8855731309294091,2018
MD,37.83453815261044,24449.68843373494,22407.093060240964,20607.062738955825,5.95,0.9196669413365759,2018
ME,31.629518072289155,45170.88015060241,15402.678930722892,12836.117876506025,5.28,0.8333691778059799,2018
MI,36.36312443233424,48578.697883742054,15803.38472479564,13267.756866485013,5.12,0.8395515959101972,2018
MN,35.463433711380524,54806.81073914744,18148.31573719202,15353.970965975754,4.57,0.8460273222219893,2018
MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,5.16,0.8782725010337054,2018
MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,5.53,0.8674104094279987,2018
MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,4.62,0.8816057226837499,2018
NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,5.38,0.817577594823203,2018
ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,5.41,0.8509675812600976,2018
NE,33.41988003427592,59629.68956298201,15853.928071979435,13493.101696658097,5.47,0.8510888680330326,2018
NH,31.469813391877057,55825.05277716795,15267.298572996708,13232.381218441273,6.03,0.8667139870995517,2018
NJ,36.38714199879832,102191.24874424194,16769.918103344684,14133.952303224514,4.89,0.8428158215278083,2018
NM,31.867469879518072,64316.22593038822,16331.779732262383,13891.394926372155,5.96,0.8505744722316206,2018
